Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
49893,Invenergy Services LLC,61785,Camilla Solar Energy Project,GA,Mitchell,CAMSR,Solar Photovoltaic,PV,,S,X,X,,,160.0, ,160.0,160.0,U,12,2019,12,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61410,"Broad Street Fuel Cell, LLC",61786,Trinity College Fuel Cell,CT,Hartford,MB-22,Other Natural Gas,FC,,S,X,X,,,1.4,1.000,1.4,1.4,U,6,2018,8,2018,N,IPP Non-CHP,2,,NG,,,,,, ,,,,,,,,,,,,
49893,Invenergy Services LLC,61787,Bishop Hill III,IL,Henry,BHIII,Onshore Wind Turbine,WT,,S,X,X,,,132.0,0.900,119.0,119.0,U,5,2018,6,2018,N,IPP Non-CHP,2,,WND,,,,,,53,,,,,,,,,,,,
61413,"Enel Green Power Diamond Vista Wind Project, LLC",61789,"Diamond Vista Wind Project, LLC",KS,Marion,DV,Onshore Wind Turbine,WT,,S,X,X,,,299.3, ,299.3,299.3,T,12,2018,12,2018,N,IPP Non-CHP,2,N,WND,,,,,,95,,,,,,,,,,,,
56622,NextEra Energy Resources,61790,"Shaw Creek Solar, LLC",SC,Aiken,SHAWC,Solar Photovoltaic,PV,,S,X,X,,,74.9,1.000,74.9,74.9,P,12,2019,12,2019,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61418,"Stage Gulch Solar, LLC",61791,Stage Gulch Solar,CA,Sonoma,5001,Solar Photovoltaic,PV,,S,X,X,,,1.0,1.000,0.8,0.7,V,4,2018,4,2018,N,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61417,"Lavio Solar, LLC",61792,Lavio Solar,CA,Sonoma,5002,Solar Photovoltaic,PV,,S,X,X,,,1.0,1.000,1.0,0.5,V,4,2018,4,2018,,IPP Non-CHP,2,,SUN,,,,,, ,,,,,,,,,,,,
61409,Heyer CSG LLC,61793,Heyer CSG,MN,Rice,HEYER,Solar Photovoltaic,PV,,S,X,X,,,1.0, ,1.0,1.0,V,6,2018,6,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61419,"Constellation Solar MC, LLC",61794,Gateway Solar,MD,Worcester,GTWYN,Solar Photovoltaic,PV,,S,X,X,,,5.0, ,5.0,5.0,P,12,2018,12,2018,N,IPP Non-CHP,2,,SUN,,,,,,0,,,,,,,,,,,,
61419,"Constellation Solar MC, LLC",61794,Gateway Solar,MD,Worcester,GTWYS,Solar Photovoltaic,PV,,S,X,X,,,2.6, ,2.6,2.6,P,12,2018,12,2018,N,IPP Non-CHP,2,,SUN,,,,,,0,,,,,,,,,,,,
61420,ENGIE Storage Services NA LLC,61795,Pacific Union College BESS,CA,Napa,12649,Batteries,BA,,S,X,X,,,1.0, ,1.0,1.0,P,10,2018,10,2018,N,Commercial Non-CHP,4,,MWH,,,,,, ,,,,,,,,,,,,
61421,"LeGore Bridge Solar Center, LLC",61796,LeGore Bridge Solar Center,MD,Frederick,LGBSC,Solar Photovoltaic,PV,,S,X,X,,,20.0,1.000,20.0,20.0,P,7,2019,12,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
61422,"Mason Dixon Solar Center, LLC",61797,Mason Dixon Solar Center,MD,Washington,PV,Solar Photovoltaic,PV,,S,X,X,,,20.0, ,20.0,20.0,P,12,2019,12,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
9234,Indiana Municipal Power Agency,61799,Rensselaer Solar Site 2,IN,Jasper,SREN2,Solar Photovoltaic,PV,,S,X,X,,,4.0, ,4.0,3.2,P,11,2018,11,2018,N,Electric Utility,1,,SUN,,,,,, ,,,,,,,,,,,,
60370,"DG AMP Solar, LLC",61800,DG AMP Solar Smyrna,DE,Kent,AMPSM,Solar Photovoltaic,PV,,S,X,X,,,1.2, ,1.2,1.2,T,6,2018,7,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
59380,"Enel Green Power NA, Inc.",61801,"Cascade Energy Storage, LLC",CA,San Joaquin,10002,Batteries,BA,,S,X,X,,,25.0, ,25.0,25.0,L,12,2022,12,2022,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
59380,"Enel Green Power NA, Inc.",61802,"Kingston Energy Storage, LLC",CA,Madera,10001,Batteries,BA,,S,X,X,,,50.0, ,50.0,50.0,L,12,2023,12,2023,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
59380,"Enel Green Power NA, Inc.",61803,"Sierra Energy Storage, LLC",CA,Tuolumne,10003,Batteries,BA,,J,X,X,,,10.0, ,10.0,10.0,L,12,2022,12,2022,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
60370,"DG AMP Solar, LLC",61805,DG AMP Solar Piqua Staunton,OH,Miami,AMPPS,Solar Photovoltaic,PV,,S,X,X,,,1.8, ,1.8,1.8,L,7,2018,9,2018,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
