Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
60897,Salinas Valley Solid Waste Authority,61285,Crazy Horse Solar Project,CA,Monterey,PV1,Solar Photovoltaic,PV,,S,X,X,,,2.0, ,2.0,2.0,P,12,2017,12,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,N,N,N
60932,Wrighter Energy LLC,61302,Wrighter Energy,PA,Susquehanna,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60932,Wrighter Energy LLC,61302,Wrighter Energy,PA,Susquehanna,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60932,Wrighter Energy LLC,61302,Wrighter Energy,PA,Susquehanna,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60932,Wrighter Energy LLC,61302,Wrighter Energy,PA,Susquehanna,GEN4,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60932,Wrighter Energy LLC,61302,Wrighter Energy,PA,Susquehanna,GEN5,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2020,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60927,Anchor Energy LLC,61304,Anchor Energy,PA,Potter,GEN1,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60927,Anchor Energy LLC,61304,Anchor Energy,PA,Potter,GEN2,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60927,Anchor Energy LLC,61304,Anchor Energy,PA,Potter,GEN3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60927,Anchor Energy LLC,61304,Anchor Energy,PA,Potter,GEN4,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60927,Anchor Energy LLC,61304,Anchor Energy,PA,Potter,GEN5,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,4.4,0.800,4.2,4.2,P,6,2018,12,2021,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
60952,Mt. Jackson Solar LLC,61318,Mt. Jackson Solar,VA,Shenandoah,SOLAR,Solar Photovoltaic,PV,,J,X,X,,,15.7, ,15.7,15.7,P,12,2019,9,2020,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
58695,Coronal Development Services,61320,Casper Solar Center,MD,Queen Annes,CSPSC,Solar Photovoltaic,PV,,S,X,X,,,36.7,0.950,36.7,36.7,P,12,2018,4,2021,N,IPP Non-CHP,2,N,SUN,,,,,,15,,,,,,,,,,N,,
58695,Coronal Development Services,61321,Biggs Ford Solar Center,MD,Frederick,BFSC,Solar Photovoltaic,PV,,S,X,X,,,15.0,0.950,15.0,15.0,P,7,2018,12,2020,N,IPP Non-CHP,2,N,SUN,,,,,,6,,,,,,,,,,N,,
61762,Long Ridge Energy Generation LLC,61322,Hannibal Port Power Project,OH,Monroe,HPPP1,Natural Gas Fired Combined Cycle,CC,,S,N,N,,,485.0,0.900,485.0,485.0,P,6,2020,11,2021,N,IPP Non-CHP,2,N,NG,OG,,,,, ,,,,,,,,N,N,Y,N,N
60971,NYC ENERGY LLC,61331,NISA Electric Generation Project,NY,Kings,GEN1,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,NYISO-Zone J,NYISO -Zone J,70.5,0.850,59.7, ,T,7,2019,1,2022,N,IPP Non-CHP,2,N,NG,DFO,,,,, ,,,,,,,,,,Y,Y,N
60971,NYC ENERGY LLC,61331,NISA Electric Generation Project,NY,Kings,STG1,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,NYISO-Zone J,NYISO-Zone J,22.0,0.850,20.2,15.0,T,7,2019,1,2022,N,IPP Non-CHP,2,N,NG,DFO,,,,, ,,,,,N,N,,N,N,N,N,N
60975,"SR Innovation, LLC",61332,SR Innovation - NIKE PV,TN,Shelby,NIKE2,Solar Photovoltaic,PV,,S,X,X,,,1.7, ,1.7,1.7,L,12,2018,10,2019,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
17633,Southern Indiana Gas & Elec Co,61334,Volkman Road Solar Array,IN,Vanderburgh,VRSA2,Batteries,BA,,S,X,X,,,1.0, ,1.0,1.0,TS,1,2019,1,2019,N,Electric Utility,1,,MWH,,,,,, ,,,,,,,,,,,,
